vpa,name,bank,is_merchant,mcc,account_age_days,kyc_level,avg_amount,usual_hours,home_device,balance,is_corporate,blacklisted,is_spoof
user0000@hdfc,User 0,SBI,0,0,1725,CORPORATE,1000.0,9-20,dev_0000,23364.0,0,0,
user0001@paytm,User 1,SBI,0,0,933,VIDEO,500.0,9-22,dev_0001,185719.0,0,0,
user0002@icici,User 2,YBL,0,0,14,VIDEO,500.0,8-19,dev_0002,166388.0,0,0,
user0003@paytm,User 3,PAYTM,0,0,1792,BASIC,12000.0,7-20,dev_0003,42954.0,0,0,
user0004@icici,User 4,AXIS,0,0,1504,BASIC,2000.0,6-22,dev_0004,68535.0,0,0,
user0005@paytm,User 5,ICICI,0,0,982,BASIC,500.0,6-21,dev_0005,135613.0,0,0,
user0006@icici,User 6,YBL,0,0,1674,BASIC,1000.0,9-22,dev_0006,80558.0,0,0,
user0007@icici,User 7,PAYTM,0,0,74,VIDEO,500.0,6-22,dev_0007,134645.0,0,0,
user0008@icici,User 8,AXIS,0,0,4,BASIC,1000.0,8-19,dev_0008,135338.0,0,0,
user0009@hdfc,User 9,PAYTM,0,0,1133,BASIC,2000.0,9-21,dev_0009,64270.0,0,0,
user0010@ybl,User 10,PAYTM,0,0,1715,BASIC,1000.0,7-22,dev_0010,16369.0,0,0,
user0011@axis,User 11,AXIS,0,0,1580,VIDEO,1000.0,9-21,dev_0011,84245.0,0,0,
user0012@axis,User 12,PAYTM,0,0,1461,VIDEO,500.0,6-22,dev_0012,36447.0,0,0,
user0013@axis,User 13,PAYTM,0,0,799,BASIC,1000.0,9-19,dev_0013,127905.0,0,0,
user0014@axis,User 14,AXIS,0,0,1822,CORPORATE,12000.0,6-20,dev_0014,56844.0,0,0,
user0015@sbi,User 15,AXIS,0,0,7,BASIC,1000.0,9-21,dev_0015,181007.0,0,0,
user0016@paytm,User 16,HDFC,0,0,402,VIDEO,1000.0,7-21,dev_0016,152911.0,0,0,
user0017@sbi,User 17,PAYTM,0,0,16,BASIC,1000.0,9-19,dev_0017,86082.0,0,0,
user0018@sbi,User 18,PAYTM,0,0,260,CORPORATE,500.0,7-21,dev_0018,38265.0,0,0,
user0019@axis,User 19,AXIS,0,0,104,VIDEO,1000.0,7-20,dev_0019,99049.0,0,0,
user0020@sbi,User 20,ICICI,0,0,1879,BASIC,1000.0,8-20,dev_0020,97330.0,0,0,
user0021@icici,User 21,HDFC,0,0,101,BASIC,1000.0,8-20,dev_0021,179751.0,0,0,
user0022@sbi,User 22,PAYTM,0,0,605,VIDEO,2000.0,6-19,dev_0022,146763.0,0,0,
user0023@icici,User 23,ICICI,0,0,132,VIDEO,500.0,10-19,dev_0023,77329.0,0,0,
user0024@ybl,User 24,YBL,0,0,624,CORPORATE,12000.0,7-21,dev_0024,54913.0,0,0,
user0025@icici,User 25,HDFC,0,0,1985,VIDEO,1000.0,6-22,dev_0025,150978.0,0,0,
user0026@hdfc,User 26,AXIS,0,0,1557,BASIC,1000.0,8-19,dev_0026,77863.0,0,0,
user0027@axis,User 27,HDFC,0,0,6,BASIC,5000.0,7-22,dev_0027,167066.0,0,0,
user0028@axis,User 28,YBL,0,0,441,CORPORATE,5000.0,8-19,dev_0028,156593.0,0,0,
user0029@axis,User 29,HDFC,0,0,6,BASIC,500.0,6-19,dev_0029,137143.0,0,0,
user0030@ybl,User 30,HDFC,0,0,447,VIDEO,1000.0,9-20,dev_0030,144504.0,0,0,
user0031@axis,User 31,HDFC,0,0,831,VIDEO,5000.0,6-19,dev_0031,100273.0,0,0,
user0032@icici,User 32,HDFC,0,0,108,BASIC,5000.0,7-20,dev_0032,128625.0,0,0,
user0033@paytm,User 33,PAYTM,0,0,1216,BASIC,12000.0,8-19,dev_0033,161850.0,0,0,
user0034@ybl,User 34,AXIS,0,0,1669,VIDEO,500.0,6-20,dev_0034,50364.0,0,0,
user0035@ybl,User 35,YBL,0,0,860,VIDEO,2000.0,10-20,dev_0035,88047.0,0,0,
user0036@sbi,User 36,YBL,0,0,519,BASIC,500.0,8-20,dev_0036,164230.0,0,0,
user0037@axis,User 37,YBL,0,0,1659,CORPORATE,500.0,8-19,dev_0037,33055.0,0,0,
user0038@hdfc,User 38,PAYTM,0,0,3,BASIC,500.0,7-20,dev_0038,15802.0,0,0,
user0039@axis,User 39,YBL,0,0,823,VIDEO,2000.0,8-22,dev_0039,103382.0,0,0,
user0040@icici,User 40,ICICI,0,0,519,BASIC,500.0,6-22,dev_0040,116390.0,0,0,
user0041@hdfc,User 41,HDFC,0,0,257,CORPORATE,1000.0,7-22,dev_0041,15132.0,0,0,
user0042@ybl,User 42,ICICI,0,0,1960,VIDEO,5000.0,10-19,dev_0042,156998.0,0,0,
user0043@paytm,User 43,YBL,0,0,1057,BASIC,1000.0,6-20,dev_0043,95245.0,0,0,
user0044@sbi,User 44,ICICI,0,0,987,BASIC,500.0,7-20,dev_0044,50351.0,0,0,
user0045@paytm,User 45,PAYTM,0,0,1390,CORPORATE,1000.0,7-19,dev_0045,190027.0,0,0,
user0046@paytm,User 46,SBI,0,0,1706,VIDEO,1000.0,7-22,dev_0046,161856.0,0,0,
user0047@hdfc,User 47,ICICI,0,0,452,BASIC,2000.0,7-19,dev_0047,172840.0,0,0,
user0048@icici,User 48,PAYTM,0,0,223,CORPORATE,2000.0,6-21,dev_0048,31794.0,0,0,
user0049@axis,User 49,HDFC,0,0,1602,VIDEO,2000.0,8-22,dev_0049,54409.0,0,0,
user0050@icici,User 50,AXIS,0,0,1156,VIDEO,500.0,9-19,dev_0050,95867.0,0,0,
user0051@ybl,User 51,YBL,0,0,1223,BASIC,1000.0,9-19,dev_0051,28348.0,0,0,
user0052@axis,User 52,PAYTM,0,0,1562,VIDEO,1000.0,9-22,dev_0052,70059.0,0,0,
user0053@icici,User 53,YBL,0,0,670,CORPORATE,1000.0,7-21,dev_0053,33817.0,0,0,
user0054@paytm,User 54,AXIS,0,0,1132,BASIC,2000.0,7-19,dev_0054,157158.0,0,0,
user0055@icici,User 55,SBI,0,0,23,VIDEO,2000.0,10-22,dev_0055,170854.0,0,0,
user0056@axis,User 56,PAYTM,0,0,83,BASIC,2000.0,8-21,dev_0056,165952.0,0,0,
user0057@sbi,User 57,ICICI,0,0,1841,CORPORATE,1000.0,8-21,dev_0057,26564.0,0,0,
user0058@paytm,User 58,HDFC,0,0,266,VIDEO,2000.0,7-19,dev_0058,134808.0,0,0,
user0059@paytm,User 59,YBL,0,0,6,BASIC,500.0,10-19,dev_0059,156469.0,0,0,
user0060@sbi,User 60,PAYTM,0,0,1,VIDEO,500.0,9-19,dev_0060,123155.0,0,0,
user0061@sbi,User 61,HDFC,0,0,1613,VIDEO,500.0,10-21,dev_0061,155561.0,0,0,
user0062@axis,User 62,ICICI,0,0,302,VIDEO,500.0,6-19,dev_0062,150311.0,0,0,
user0063@axis,User 63,HDFC,0,0,434,CORPORATE,2000.0,6-19,dev_0063,143431.0,0,0,
user0064@icici,User 64,AXIS,0,0,142,BASIC,2000.0,6-19,dev_0064,143367.0,0,0,
user0065@paytm,User 65,SBI,0,0,949,VIDEO,12000.0,6-21,dev_0065,129099.0,0,0,
